,0,1,2,3,4
349,DPL.N^K11,31-Dec-2018,US,Electric Utilities (NEC),19635080
350,CNL.N^D16,31-Dec-2018,US,Electric Utilities (NEC),19635522
351,AEE.N,31-Dec-2018,US,"Multiline Utilities
+1",19634581
352,—,31-Dec-2018,US,Electric Utilities (NEC),19634380
353,WIPSI.PK^K15,31-Dec-2018,US,Electric Utilities (NEC),19633558
354,WELPP.PK,31-Dec-2018,US,Electric Utilities (NEC),19633164
355,OTTR.OQ,31-Dec-2018,US,Electric Utilities (NEC),19625589
356,MGEE.OQ,31-Dec-2018,US,Electric Utilities (NEC),19625580
357,LNT.OQ,31-Dec-2018,US,Electric Utilities (NEC),19625544
358,—,31-Dec-2018,US,Electric Utilities (NEC),19625232
359,—,31-Dec-2018,US,Electric Utilities (NEC),19625207
360,—,31-Dec-2018,US,Electric Utilities (NEC),19625206
361,SPS.N^H97,31-Dec-2018,US,Electric Utilities (NEC),19625166
362,XEL.OQ,31-Dec-2018,US,Electric Utilities (NEC),19625051
363,AZD.N^A00,31-Dec-2018,US,Electric Utilities (NEC),19624026
364,CEDNM.PK^E12,31-Dec-2018,US,"Multiline Utilities
+1",19622803
365,PSD.N^B09,31-Dec-2018,US,Electric Utilities (NEC),19621946
366,IDA.N,31-Dec-2018,US,Electric Utilities (NEC),19620555
367,—,31-Dec-2018,US,Fossil Fuel Electric Utilities,19619675
368,—,31-Dec-2018,US,Electric Utilities (NEC),19619955
369,OGE.N,31-Dec-2018,US,Electric Utilities (NEC),19619672
370,FE.N,31-Dec-2018,US,Electric Utilities (NEC),19615625
371,NEP.N,31-Dec-2018,US,Electric Utilities (NEC),19615524
372,TAECM.PK^L04,31-Dec-2018,US,Electric Utilities (NEC),19613299
373,ITC.N^J16,31-Dec-2018,US,Electric Utilities (NEC),19609930
374,—,31-Dec-2018,US,Electric Utilities (NEC),19609847
375,POR.N,31-Dec-2018,US,Electric Utilities (NEC),19608779
376,ALE.N,31-Dec-2018,US,Electric Utilities (NEC),19599029
377,—,31-Dec-2018,US,Electric Utilities (NEC),19574370
378,TVC.N,30-Sep-2018,US,Electric Utilities (NEC),181185367
379,PRHL.PK,31-Dec-2017,US,Electric Utilities (NEC),181111738
380,USBL.PK,28-Feb-2018,US,Professional Sports Venues,18990940
381,FNEC.PK,31-Dec-2017,US,Wind Electric Utilities,18890473
382,BLNK.OQ,31-Dec-2017,US,Electrical Components & Equipment (NEC),18759822
383,PEGY.OQ,31-Dec-2017,US,Electric Utilities (NEC),18744040
384,VSPC.PK,31-Dec-2017,US,Biomass & Waste to Energy Electric Utilities,18729589
385,—,31-Dec-2017,US,"—
+2",18725777
386,SUME.PK,31-Dec-2017,US,Electric Utilities (NEC),18723049
387,—,31-Dec-2017,US,Electric Utilities (NEC),18722385
388,FLPWP.PK^C13,31-Dec-2017,US,Electric Utilities (NEC),18722122
389,—,31-Dec-2017,US,Corporate Financial Services (NEC),18715817
